date,ticker,open,close,high,low,volume
2023-01-01,TSLA,237.2,233.28,238.80284702086598,232.1455023962079,3550007
2023-01-02,AAPL,137.14,137.75,137.88593657049447,135.57066220914427,1199520
2023-01-03,AAPL,169.96,170.61,173.52285025560926,167.94261530576068,1416242
2023-01-04,AAPL,132.1,136.01,137.80499981541357,129.65309691807798,1985104
2023-01-05,MSFT,188.83,185.24,189.99989696228445,182.61342191409065,3762725
2023-01-06,TSLA,233.2,237.57,238.16948986046063,230.50018955306092,4018861
2023-01-07,AMZN,220.94,219.84,223.0830727274059,218.66660738589232,2465934
2023-01-08,AMZN,148.05,150.61,150.99490131722058,145.57820270461247,3204150
2023-01-09,AMZN,165.74,169.97,171.20070296213228,164.47694576858618,2493240
2023-01-10,AAPL,163.43,159.46,164.00954983810274,159.24548402744065,4648198
2023-01-11,AAPL,140.82,141.44,143.8021708118084,138.8818385916869,2869043
2023-01-12,MSFT,289.14,286.84,289.3953194432239,284.0949150276214,4953515
2023-01-13,TSLA,180.73,178.1,183.13209672620852,177.26980815646567,2418667
2023-01-14,TSLA,227.58,231.09,232.44566582049092,226.4671140656955,4470575
2023-01-15,AAPL,190.97,195.38,197.87926476602487,188.13161920109422,1958656
2023-01-16,AAPL,206.35,204.96,208.74782392184304,204.37439975667635,4586873
2023-01-17,MSFT,260.13,261.42,264.3470600754544,259.42375386652157,2893132
2023-01-18,AAPL,128.93,124.66,131.69046092569317,121.7758813864517,2063211
2023-01-19,AMZN,118.32,118.06,119.98715834428222,116.14088560316233,2573185
2023-01-20,TSLA,231.01,233.32,236.2008466364568,228.67357182977383,2777989
2023-01-21,AMZN,123.14,120.42,124.00398625283842,120.17412965464341,3496061
2023-01-22,AAPL,192.11,193.93,195.68629381511093,190.07297723450023,3058562
2023-01-23,MSFT,160.18,157.32,160.51698088476536,155.16139246420428,3938584
2023-01-24,AMZN,291.14,294.6,295.495259117096,288.6661711582019,2292112
2023-01-25,AMZN,241.47,237.67,242.10625986519676,235.62855055555104,1091206
2023-01-26,TSLA,292.92,296.93,298.45918571987113,292.0706155952025,3075182
2023-01-27,AAPL,205.9,202.12,206.0457406321111,201.92389329994066,3620196
2023-01-28,AMZN,288.83,292.9,294.3550444467791,288.2557168651384,4072930
2023-01-29,AAPL,174.02,174.35,175.9252968483128,171.52845267635067,1841636
2023-01-30,MSFT,204.93,202.89,204.97602893979854,200.50776613647562,4393531
2023-01-31,MSFT,148.86,150.29,153.00952746151594,146.72264383347422,4951588
